question_id,question_type,question,answer,answer_begin_position,answer_end_position,article_id
15001,2,ภาษาฮีบรูอาซเกนาซีเป็นระบบการออกเสียงของภาษาฮีบรูไบเบิล และภาษาฮีบรูมิซนะห์ที่นิยมใช้ในหมู่ชาวเยอรมันใช่หรือไม่,ไม่ใช่,,,265515
15002,2,แองคิโลซอรัสเป็นไดโนเสาร์ที่เล็กที่สุดในสกุล แองคิโลซอร์ และอาศัยอยู่ในยุคครีเตเชียส ในทวีปอเมริกากลางจริงหรือไม่,ไม่ใช่,,,319289
15003,2,ลูกตุ้มขนาดใหญ่ของ แองคิโลซอรัส เป็นส่วนกระดูกที่ยื่นออกมาจากคอโดยมีกระดูกคอข้อที่3รองรับน้ำหนักทั้งหมดใช่หรือไม่,ไม่ใช่,,,319289
15004,2,แอบถ่าย หรือโรคถ้ำมองเป็นความสนใจหรือข้อประพฤติทางเพศที่จะแอบดูคนอื่นทำพฤติกรรมต่างๆ ในที่เปิดเผยใช่หรือไม่,ไม่ใช่,,,773798
15005,2,เอเชียนอินดอร์-มาร์เชียลอาร์ตสเกมส์เป็นการแข่งขันกีฬาในร่มควบคุมโดยสภาโอลิมปิกแห่งเอเชียที่จัดขึ้นทุกๆ 2 ปีใช่หรือไม่,ไม่ใช่,,,358523
15006,2,ไกลโคเจนเป็นพอลิแซ็กคาไรด์ที่พบในเซลล์สัตว์ เป็นอาหารสะสมประเภทคาร์โบไฮเดรตในพืชใบเลี้ยงเดียวใช่หรือไม่,ไม่ใช่,,,376032
15007,2,ไอ้แมงมุม 3 เป็นภาพยนตร์ซูเปอร์ฮีโร่ ที่ออกฉายเมื่อพ.ศ. 2560 โดยเป็นภาพยนตร์ลำดับที่ 3 ของภาพยนตร์ชุดสไปเดอร์แมนใช่หรือไม่,ไม่ใช่,,,76947
15008,2,เต่าหญ้า หรือ เต่าสังกะสีจัดเป็นเต่านาชนิดหนึ่ง มีชื่อวิทยาศาสตร์ว่า Lepidochelys olivacea ใช่หรือไม่,ไม่ใช่,,,355753
15009,2,เต่าทะเลที่ว่ายน้ำได้ช้ามาก โดยอาจว่ายได้เพียง 15 กิโลเมตรต่อหนึ่งชั่วโมงใช่หรือไม่,ไม่ใช่,,,355753
15010,2,ภาษาโซตุง (Zotung language) มีผู้พูดในพม่าทั้งสิ้น 400 คนเมื่อพ.ศ. 2533 ใช่หรือไม่,ไม่ใช่,,,554015
15011,2,"อาณาจักรเขมรอุดง มีศูนย์กลางอยู่ที่เมืองอุดงมีชัย หรือ อุดงฦาไชย ตั้งแต่ พ.ศ. 2161 โดยยุคนั้นถือเป็น ""ยุคทองของเขมร"" ใช่หรือไม่",ไม่ใช่,,,312531
15012,2,ธนาคารโลก หรือธนาคารระหว่างประเทศเพื่อการบูรณะและวิวัฒนาการได้จัดตั้งขึ้นมาก่อนสงครามโลกครั้งที่สองใช่หรือไม่,ไม่ใช่,,,62720
15013,2,ทรานสไกหมายถึง พื้นที่นอกเหนือ แม่น้ำเกรตไค และมีชื่ออย่างเป็นทางการว่า สาธารณรัฐทรานสพาเรนซีใช่หรือไม่,ไม่ใช่,,,907924
15014,2,พลูโทเนียม เป็นธาตุที่มีเลขอะตอม 94 และสัญลักษณ์ คือ Po ใช่หรือไม่,ไม่ใช่,,,14515
15015,2,ศาสนาพุทธได้เข้ามาในประเทศจีน ดังที่ปรากฏในหลักฐาน เมื่อประมาณ พ.ศ. 608 ในรัชสมัยจักรพรรดิแมนจูใช่หรือไม่,ไม่ใช่,,,82277
15016,2,Standard Industrial Classification หรือ SIC คือระบบจำแนกประเภทอุตสาหกรรมของอิตาลีที่ใช้ตัวเลข 4 ตัวเป็นตัวกำหนดใช่หรือไม่,ไม่ใช่,,,135308
15017,2,ส่วนนกเค้าแมวนั้นมักหากินในเวลากลางวันเท่านั้นใช่หรือไม่,ไม่ใช่,,,86520
